Class_Name,Area,Perimeter,Mean,Std_Dev,Max_Value,Min_Value,Contrast,Dissimilarity,Homogeneity,Energy
A01505.pgm,33.5,25.071067690849304,196.984126984127,106.90278807053498,255,0,7681.524725274725,30.123626373626372,0.8818699485548132,0.7313938089398796
A01506.pgm,27.5,23.071067690849304,191.92460317460316,110.02599922652331,255,0,7502.884615384616,29.423076923076923,0.8846171590535383,0.718439423114729
A01507.pgm,30.5,25.071067690849304,189.90079365079364,111.18628940544363,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.709985470579338
A01508.pgm,24.0,21.656854152679443,188.37533156498674,112.02876419408067,255,0,8072.068965517241,31.655172413793103,0.8758639780162206,0.7039119499580171
A01509.pgm,25.5,23.071067690849304,192.55102040816325,109.65680436642644,255,0,7225.0,28.333333333333332,0.888890597607111,0.7227017420845848
A01510.pgm,28.0,23.656854152679443,191.5873015873016,110.22280968682593,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7160428514080214
A01511.pgm,31.5,25.071067690849304,192.6510989010989,109.59737365456907,255,0,7988.785714285715,31.32857142857143,0.8771447464970056,0.7162316350888454
A01512.pgm,27.5,25.071067690849304,193.27380952380952,109.22479563142073,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7207311686486573
A01513.pgm,28.5,23.071067690849304,191.25,110.41823898251593,255,0,7681.524725274725,30.123626373626372,0.8818699485548132,0.7151173307672496
A01514.pgm,31.0,26.485281229019165,195.07662835249042,108.11868155184554,255,0,7761.604774535809,30.43766578249337,0.8806384404002121,0.7252059243802123
A01515.pgm,24.5,23.071067690849304,190.307881773399,110.95683839736392,255,0,7474.137931034483,29.310344827586206,0.8850592389039079,0.7145077402906704
A01516.pgm,26.5,25.071067690849304,194.62301587301587,108.40087979398903,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7231095929357632
A01517.pgm,29.0,24.485281229019165,192.59920634920636,109.62820500538834,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7188437620964904
A01518.pgm,31.0,26.485281229019165,194.82780612244898,108.273803492525,255,0,7569.047619047618,29.68253968253968,0.8835996736836401,0.7262880496509354
A01519.pgm,26.5,23.071067690849304,189.90079365079364,111.18628940544363,255,0,7502.884615384616,29.423076923076923,0.8846171590535384,0.712934584328195
A01520.pgm,27.5,23.071067690849304,193.61111111111111,109.0209658169213,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7216808644660442
A01521.pgm,25.5,23.071067690849304,190.74270557029178,110.70957588279968,255,0,7892.689655172414,30.951724137931034,0.8786225562825267,0.7117415127523683
A01522.pgm,23.0,21.656854152679443,191.5752551020408,110.22981304351556,255,0,7225.0,28.333333333333332,0.8888905976071111,0.7200166916684496
A01523.pgm,28.0,24.485281229019165,192.55102040816325,109.65680436642644,255,0,7397.023809523809,29.007936507936506,0.8862451356453755,0.7212816326010366
A01524.pgm,32.0,28.485281229019165,193.9484126984127,108.81570865395045,255,0,8038.804945054945,31.524725274725277,0.8763755275573626,0.7197461404565426
A01525.pgm,24.5,23.071067690849304,192.59920634920636,109.62820500538834,255,0,7314.197530864198,28.683127572016463,0.8875188765899149,0.7220981294756961
A01526.pgm,27.5,23.071067690849304,190.9247448979592,110.60538745752307,255,0,7225.0,28.333333333333332,0.888890597607111,0.7182454421819463
A01527.pgm,29.5,25.071067690849304,191.92460317460316,110.02599922652333,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.715512998895179
A01528.pgm,24.0,23.656854152679443,191.81992337164752,110.08722658630924,255,0,7761.604774535809,30.43766578249337,0.8806384404002121,0.716028080870855
A01529.pgm,24.0,21.656854152679443,193.76231527093597,108.92913097484569,255,0,7308.045977011494,28.659003831417625,0.8876134780393767,0.7253982064127278
A01530.pgm,27.5,23.071067690849304,192.6510989010989,109.59737365456907,255,0,7988.785714285715,31.32857142857143,0.8771447464970056,0.7162316350888454
A01531.pgm,29.5,25.071067690849304,191.92460317460316,110.02599922652333,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7169724407109671
A01532.pgm,24.5,23.071067690849304,193.27380952380952,109.22479563142072,255,0,7502.884615384616,29.423076923076923,0.8846171590535383,0.7221905160053284
A01533.pgm,29.0,24.485281229019165,190.19917582417582,111.01830187392113,255,0,7803.0,30.599999999999998,0.8800018454156799,0.7110010189722599
A01534.pgm,30.5,25.071067690849304,193.61111111111111,109.0209658169213,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7216808644660442
A01535.pgm,25.5,23.071067690849304,190.06631299734747,111.09323326790857,255,0,8072.068965517241,31.655172413793103,0.8758639780162206,0.7084380165586743
A01536.pgm,26.5,23.071067690849304,192.26190476190476,109.82780017650347,255,0,7314.197530864198,28.683127572016463,0.8875188765899149,0.7211646332657455
A01537.pgm,26.5,23.071067690849304,191.60027472527472,110.21526564022021,255,0,7988.785714285715,31.32857142857143,0.8771447464970057,0.713310763200696
A01538.pgm,30.5,25.071067690849304,193.00137362637363,109.38839085139797,255,0,8360.357142857141,32.785714285714285,0.871430548659657,0.7142257117655025
A01539.pgm,27.0,21.656854152679443,196.10714285714286,107.46771584517647,255,0,6566.564039408867,25.751231527093598,0.8990163313227192,0.7386083102154606
A01540.pgm,27.5,23.071067690849304,191.25,110.41823898251593,255,0,7502.884615384616,29.423076923076923,0.8846171590535383,0.7165881109187197
A01541.pgm,30.0,26.485281229019165,194.28571428571428,108.60901604998978,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7221460991571965
A01542.pgm,28.0,23.656854152679443,193.2015306122449,109.26828851596535,255,0,7569.047619047618,29.68253968253968,0.8835996736836401,0.7216841998548589
A01543.pgm,25.5,23.071067690849304,192.43368700265253,109.72632451805516,255,0,7713.310344827586,30.248275862068965,0.881381134548833,0.7178657759601631
A01544.pgm,27.5,25.071067690849304,200.96428571428572,104.20771912142496,255,0,7047.04433497537,27.63546798029557,0.8916272823951131,0.7490357962006255
A01545.pgm,30.0,26.485281229019165,197.5307881773399,106.54547717881107,255,0,7132.844387755102,27.971938775510203,0.8903078093723265,0.7378823774539552
A01546.pgm,30.5,25.071067690849304,198.83928571428572,105.67382038033597,255,0,7047.04433497537,27.63546798029557,0.8916272823951132,0.7426445351764271
A01547.pgm,28.0,23.656854152679443,198.602853745541,105.83304866269421,255,0,7207.204433497537,28.26354679802956,0.8891642660859113,0.7404458716311072
A01548.pgm,28.5,25.071067690849304,194.75274725274724,108.32044122398182,255,0,8174.571428571429,32.05714285714286,0.8742876475783312,0.7207026050306459
A01549.pgm,31.5,25.071067690849304,194.62301587301587,108.40087979398903,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7231095929357632
A01550.pgm,25.5,21.071067690849304,193.27380952380952,109.22479563142072,255,0,7324.244505494506,28.722527472527474,0.8873643695522636,0.7236573499590399
A01551.pgm,29.0,26.485281229019165,192.93650793650792,109.42720607360556,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7197854626098799
A01552.pgm,32.5,25.071067690849304,193.61111111111111,109.0209658169213,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7202309636397121
A01553.pgm,2.0,5.656854152679443,199.10098522167488,105.49667727130318,255,0,7141.954022988506,28.007662835249043,0.8901677171748453,0.7422442573591491
A01554.pgm,29.0,24.485281229019165,196.23456790123456,107.38626157675188,255,0,7780.769230769231,30.512820512820515,0.8803437204999657,0.7284037287867585
A01555.pgm,31.0,26.485281229019165,194.96031746031747,108.19129155414122,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7240770163878646
A01556.pgm,32.0,26.485281229019165,193.97435897435898,108.79986028919366,255,0,8092.0,31.73333333333333,0.8755574693199644,0.7191352832086294
A01557.pgm,29.0,24.485281229019165,190.6378600823045,110.76940292439666,255,0,7595.51282051282,29.786324786324787,0.8831926795356808,0.7141569931569051
A01558.pgm,31.0,26.485281229019165,198.6706349206349,105.78747905585851,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7349735497459952
A01559.pgm,25.0,21.656854152679443,193.00137362637363,109.38839085139797,255,0,7803.0,30.599999999999998,0.8800018454156799,0.7187205184725628
A01560.pgm,25.5,23.071067690849304,193.27380952380952,109.22479563142072,255,0,7314.197530864198,28.683127572016463,0.8875188765899149,0.7239771055408731
